company_name,country,assets,date,price,sector,operating,debt_to_assets,age
adidas,germany,15176.0,2016-04-20T00:00:00.000Z,107.305,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-21T00:00:00.000Z,106.35,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-22T00:00:00.000Z,107.224,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-25T00:00:00.000Z,107.844,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-26T00:00:00.000Z,107.746,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-27T00:00:00.000Z,114.19,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-28T00:00:00.000Z,113.0,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-04-29T00:00:00.000Z,112.651,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-02T00:00:00.000Z,113.612,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-03T00:00:00.000Z,113.012,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-04T00:00:00.000Z,112.54,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-05T00:00:00.000Z,112.685,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-06T00:00:00.000Z,114.66,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-09T00:00:00.000Z,114.149,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-10T00:00:00.000Z,114.64,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-11T00:00:00.000Z,114.1,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-12T00:00:00.000Z,113.65,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-13T00:00:00.000Z,109.153,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-16T00:00:00.000Z,109.25,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-17T00:00:00.000Z,109.342,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-18T00:00:00.000Z,109.998,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-19T00:00:00.000Z,109.313,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-20T00:00:00.000Z,112.92,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-23T00:00:00.000Z,113.591,consumer discretionary,7.73,10.66,66
adidas,germany,15176.0,2016-05-24T00:00:00.000Z,114.612,consumer discretionary,7.73,10.66,66
